name,population,HDIRank,GNI,lifeExpectancy,povertyPercent,popUrbanPercent,cleanWaterAccess,averageSchooling,electricityAccessRuralPop,electricityAccessTotalPop
Guinea-Bissau,1.9,178,1593,58,67.29366779,43.4,67,3.3,No Current Info,14.00467014
Guyana,0.8,123,7615,69.8,3.36623453,26.6,96,8.5,81.02419963,83.56835175
Haiti,11.1,169,1665,63.7,41.26889706,55.3,65,5.4,No Current Info,38.22112656
Honduras,9.6,132,4258,75.1,19.30274367,57.1,95,6.6,78.313718,89.98171
Hong Kong SAR, China,7.4,4,60221,84.7,No Current Info,100,No Current Info,12,No Current Info,100
Hungary,9.7,43,27144,76.7,No Current Info,71.4,100,11.9,100,100
Iceland,0.3,6,47566,82.9,No Current Info,93.8,100,12.5,100,100
India,1352.6,129,6829,69.4,27.90772319,34,93,6.5,83.2,88
Indonesia,267.7,111,11256,71.5,7.01231882,55.3,89,8,95.22907841,97.53736744
Iran, Islamic Rep.,81.8,65,18166,76.5,No Current Info,74.9,95,10,99.90629814,99.97505188
Iraq,38.4,120,15365,70.5,8.63541886,70.5,97,7.3,99.54856894,99.86218262
Ireland,4.8,3,55660,82.1,No Current Info,63.2,97,12.5,100,100
Isle of Man,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100,100
Israel,8.4,22,33650,82.8,No Current Info,92.4,100,13,100,100
Italy,60.6,29,36141,83.4,No Current Info,70.4,99,10.2,100,100
Jamaica,2.9,96,7932,74.4,4.68690433,55.7,91,9.8,93.9814326,97.27888489
Japan,127.2,19,40799,84.5,No Current Info,91.6,99,12.8,100,100
Jordan,10,102,8268,74.4,0.43120324,91,99,10.5,100,99.99832153
Kazakhstan,18.3,50,22168,73.2,0.45304303,57.4,96,11.8,100,100
Kenya,51.4,147,3052,66.3,38.67760897,27,59,6.6,16,41.6
Kiribati,0.1,132,3917,68.1,No Current Info,54.1,72,7.9,92.35,90.55818141
Korea, Dem. Rep.,25.6,No Current Info,No Current Info,72.1,No Current Info,61.9,95,No Current Info,37.44631958,37.44631958
Korea, Rep.,51.2,22,36757,82.8,No Current Info,81.5,100,12.2,100,100
Kosovo,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100
Kuwait,4.1,57,71164,75.4,No Current Info,100,100,7.3,100,100
Kyrgyz Republic,6.3,122,3317,71.3,No Current Info,36.4,87,10.9,99.85512396,99.90655518
Lao PDR,7.1,140,6317,67.6,No Current Info,35,82,5.2,83.04169721,89.7
Latvia,1.9,39,26301,75.2,No Current Info,68.1,99,12.8,100,100
Lebanon,6.9,93,11136,78.9,No Current Info,88.6,93,8.7,100,100
Lesotho,2.1,164,3244,53.7,33.5732311,28.2,69,6.3,14.84488546,27.92323875
Liberia,4.8,176,1040,63.7,62.93796897,51.2,73,4.7,4.569977193,13.84009171
Libya,6.7,110,11685,72.7,1.99614279,80.1,99,7.6,96.43650936,98.52876282
Liechtenstein,0,18,99732,80.5,No Current Info,14.3,No Current Info,12.5,100,100
Lithuania,2.8,34,29775,75.7,No Current Info,67.7,98,13,100,100
